term,coef_logit,OR_ajuste,IC95_inf,IC95_sup,p_value
Intercept,-0.49666596275776104,0.6085562303082562,0.26745650968297996,1.3846762820840124,0.2363925016311963
C(child_sex)[T.Masculin],0.08730385243086479,1.0912282016905603,0.8279290368686633,1.4382621397946103,0.5354705747432231
C(maternal_age_group)[T.20-24],-0.02103966303900779,0.9791801265396929,0.5983177819581385,1.602482408382393,0.933283823285048
C(maternal_age_group)[T.25-29],0.10571129125491352,1.1115009301400456,0.6650713359808149,1.8575966980748433,0.6866321134897686
C(maternal_age_group)[T.30-34],0.0519838025860173,1.053358680688563,0.5968546705978116,1.8590195651323407,0.8576575733682081
C(maternal_age_group)[T.35-49],0.5275606718737093,1.6947931057429364,0.9264540624150974,3.100341169411208,0.08688599882068833
C(maternal_education)[T.Primaire],0.30734070227767113,1.359804177539714,0.9121469316145842,2.0271595914722185,0.13140075948850183
C(maternal_education)[T.Secondaire],0.00223683443661136,1.0022393380171102,0.6235084417037712,1.611018590099868,0.9926301133843021
C(maternal_education)[T.Supérieur],-0.33071358987169397,0.7184108997354562,0.3209922319020443,1.6078713737104016,0.4210641285116532
C(wealth_group)[T.Pauvre],-0.5176505028654667,0.5959190144973101,0.38607130793088673,0.9198287066259212,0.01942420400437215
C(wealth_group)[T.Riche],0.19069537709946544,1.2100907745686846,0.7889585370784635,1.856016018431916,0.3822277171526206
C(residence)[T.Urbain],-0.16358004599565534,0.8490985293440799,0.5705803065257394,1.2635702709829784,0.4199400171143116
C(birth_interval_group)[T.48+ mois],-0.12938563667424507,0.8786350662989514,0.5897029197122102,1.3091330463598818,0.524799787113988
C(birth_interval_group)[T.<24 mois],0.4155468294796388,1.515199069712884,0.9899896236726473,2.3190427111162677,0.05566707075572875
C(birth_interval_group)[T.Premier-né],0.1479035896770429,1.1594011127387969,0.7401290061645289,1.816184650275881,0.5183677956003163
C(birth_size_group)[T.Moyen],0.3759512527009135,1.4563761376375013,1.0524409981431706,2.0153447632903676,0.02330744968772584
C(birth_size_group)[T.NSP],0.48636670594080705,1.6263962960551817,0.6750100510560479,3.9187044810424303,0.27836596186015927
C(birth_size_group)[T.Petit],-0.08069440340402498,0.9224755537634322,0.5820939553521741,1.4618965537553275,0.7312210976047888
C(anc_group)[T.1-3 visites],0.5412067898001126,1.7180789718119729,1.0507566771601518,2.809209227544681,0.030980789897564948
C(anc_group)[T.4+ visites],-0.036467065778852184,0.9641898482151089,0.5874754130577382,1.5824697387117812,0.8852952146428178
C(delivery_place_group)[T.Établissement de santé],0.40393305442061445,1.4977036789613907,1.0245438476029938,2.1893804889097166,0.03705738913812652
C(media_exposure_any)[T.Oui],-0.17709514214595273,0.8377000801481412,0.5689263442131256,1.2334486378034955,0.36966018878268736
C(partner_education_group)[T.NSP],0.3261842607519616,1.3856706700707053,0.580277452039903,3.308905419544308,0.4626606983980075
C(partner_education_group)[T.Pas en union],0.18043697831427127,1.1977406354679707,0.7644470590394965,1.8766278356198087,0.43094832958652385
C(partner_education_group)[T.Secondaire+],0.11498643497406447,1.1218582194328788,0.776471852205757,1.6208776415189385,0.540241667635761
child_age_months,-0.26748362731621195,0.7653028605819893,0.7014145887289465,0.8350103887578366,1.8096498303903773e-09
