term,coef_logit,OR_ajuste,IC95_inf,IC95_sup,p_value
Intercept,0.2035665686906076,1.2257667526130533,0.4744842315583096,3.1666049825870917,0.674205387702911
C(child_sex)[T.Masculin],0.09837189931644547,1.1033730524987067,0.8065966909867024,1.5093442690560015,0.5382938189490457
C(maternal_age_group)[T.20-24],-0.21777184756568305,0.8043089257739491,0.45643808364368044,1.4173069059343832,0.4512085279326348
C(maternal_age_group)[T.25-29],-0.10509277535894677,0.9002409985300611,0.5003470694387185,1.619743384014487,0.7258252736503965
C(maternal_age_group)[T.30-34],-0.2857188405072176,0.7514738702596181,0.3901617365043988,1.447381751840759,0.39291657910204414
C(maternal_age_group)[T.35-49],0.24707023732624714,1.280269032294085,0.6503432796714398,2.5203440187454818,0.47464437682676996
C(maternal_education)[T.Primaire],0.21823368965880036,1.2438777150159053,0.7899069203264683,1.9587520125456288,0.34620098036996616
C(maternal_education)[T.Secondaire],-0.21591511361487611,0.8058037007336474,0.4753952963013793,1.3658519744890407,0.4225796449283499
C(maternal_education)[T.Supérieur],-0.5861875452330835,0.5564446660792813,0.22965550580506935,1.3482396832710655,0.19421244565679374
C(wealth_group)[T.Pauvre],-0.7099582877079038,0.4916647054950526,0.2993765069308763,0.8074587585636814,0.005033350251884629
C(wealth_group)[T.Riche],0.15177506857608125,1.1638984096601004,0.7162716821983942,1.8912649231804959,0.5400397076012007
C(residence)[T.Urbain],-0.19456850808995418,0.8231897811651393,0.527536902831472,1.2845384127206558,0.39143279342139126
C(birth_interval_group)[T.48+ mois],-0.1336929471338214,0.8748586512224372,0.5563476921726378,1.375718225108124,0.5626814817509657
C(birth_interval_group)[T.<24 mois],0.4140596621740512,1.512947389922231,0.9402891303953884,2.434368037105747,0.08796054281058673
C(birth_interval_group)[T.Premier-né],0.12303660144822323,1.130925813712582,0.6786107135600186,1.8847229649703248,0.6368205439036636
C(birth_size_group)[T.Moyen],0.36265981819270193,1.4371468848511877,0.9963601260737598,2.07293639577521,0.052324673974595365
C(birth_size_group)[T.NSP],0.585253383278383,1.7954458639673567,0.6199525733740705,5.199794288929257,0.28071184380821057
C(birth_size_group)[T.Petit],-0.22794872105652697,0.7961650852931056,0.4730130251155539,1.3400875015755132,0.3908662411710564
C(anc_group)[T.1-3 visites],0.4535800043924319,1.5739368120895918,0.9014233827685821,2.748183745624808,0.11070786215627332
C(anc_group)[T.4+ visites],0.057041209670824405,1.0586994381518995,0.6078912810234717,1.843823945716158,0.8402985699986826
C(delivery_place_group)[T.Établissement de santé],0.36400578527207095,1.439082539617988,0.9297285114707842,2.2274874119512638,0.10245356301233469
C(media_exposure_any)[T.Oui],-0.31918451204849946,0.7267414443820992,0.4688667441509676,1.1264461247704165,0.15344556541954468
C(partner_education_group)[T.NSP],0.22282161143884677,1.2495976399271473,0.5047999913441051,3.093292964514095,0.6299387955339111
C(partner_education_group)[T.Pas en union],0.06799397748773384,1.0703588622099862,0.6431137578720915,1.7814392553227223,0.7936306327264081
C(partner_education_group)[T.Secondaire+],-0.10724235836574755,0.8983079341630963,0.5909002712515192,1.3656401660998478,0.6158008732659351
child_age_months,-0.296604304281745,0.7433380898748757,0.6716462298058096,0.8226823755395544,9.92601702722658e-09
